"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value"
"OGN","Organon & Co.","Common stocks","Mid cap","Health Care","$8,706,907,996","2.43%","6.58","1.38","-5.50"
"VNO","Vornado Realty Trust","REITs","Mid cap","Real Estate","$8,700,689,538","4.58%","69.63","5.47","1.42"
"NLSN","Nielsen Holdings Plc","Common stocks","Mid cap","Industrials","$8,598,877,325","1.00%","9.12","2.46","2.51"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$8,393,100,963","4.44%","13.32","2.21","1.37"
"DXC","DXC Technology Company","Common stocks","Mid cap","Information Technology","$7,972,423,373","0.00%","-13.31","0.48","1.70"
"HII","Huntington Ingalls Industries Inc","Common stocks","Mid cap","Industrials","$7,891,033,711","2.33%","14.24","0.83","2.76"
"LW","Lamb Weston Holdings Inc","Common stocks","Mid cap","Consumer Staples","$7,766,940,564","1.77%","40.87","1.99","21.70"
"PENN","Penn National Gaming Inc","Common stocks","Mid cap","Consumer Discretionary","$7,559,368,729","0.00%","17.94","1.28","1.84"
"UA","Under Armour Inc Class C","Common stocks","Mid cap","Consumer Discretionary","$7,482,277,440","0.00%","10.98","1.32","1.89"
"UAA","Under Armour Inc Class A","Common stocks","Mid cap","Consumer Discretionary","$7,482,277,440","0.00%","9.17","1.32","1.58"
"ALK","Alaska Air Group Inc","Common stocks","Mid cap","Industrials","$6,839,562,980","0.00%","14.54","1.11","1.83"
"IPGP","IPG Photonics Corp","Common stocks","Mid cap","Information Technology","$6,174,320,239","0.00%","22.63","4.23","2.29"
"PVH","PVH Corp","Common stocks","Mid cap","Consumer Discretionary","$5,734,667,188","0.09%","20.79","0.00","1.13"
"NCLH","Norwegian Cruise Line Holdings Ltd","Common stocks","Mid cap","Consumer Discretionary","$4,231,381,000","0.00%","-1.84","6.53","3.41"
