"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value"
"JBHT","JB Hunt Transport Services Inc","Common stocks","Large cap","Industrials","$22,712,404,778","0.60%","29.69","1.87","7.24"
"DOV","Dover Corp","Common stocks","Large cap","Industrials","$22,664,111,319","1.26%","20.42","2.87","5.48"
"MOS","Mosaic","Common stocks","Large cap","Materials","$22,503,696,703","0.55%","14.02","1.82","2.16"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Health Care","$22,501,429,940","0.16%","24.68","4.44","3.23"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$22,461,622,691","2.29%","21.31","4.51","3.77"
"KEY","Keycorp","Common stocks","Large cap","Financials","$22,386,873,678","3.11%","8.81","3.18","1.27"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$22,308,203,197","2.42%","45.51","15.49","3.71"
"COO","Cooper Companies, Inc.","Common stocks","Large cap","Health Care","$22,286,769,492","0.01%","22.12","7.36","3.00"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$22,258,988,969","0.00%","27.72","3.96","7.78"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$22,256,842,402","3.42%","16.02","1.92","6.12"
"ETR","Entergy Corp","Common stocks","Large cap","Utilities","$22,186,325,486","3.50%","19.67","1.89","1.88"
"HBAN","Huntington Bancshares Inc","Common stocks","Large cap","Financials","$21,946,916,616","3.96%","18.95","3.66","1.13"
"FTV","Fortive Corp","Common stocks","Large cap","Industrials","$21,903,050,156","0.46%","38.83","4.17","2.34"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$21,875,596,133","1.29%","6.48","1.61","0.82"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$21,875,596,133","1.19%","8.99","1.61","1.14"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$21,807,390,538","2.83%","8.96","3.43","1.17"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$21,806,206,647","1.63%","15.96","4.44","4.19"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$21,742,161,963","1.06%","14.29","2.14","2.54"
"HPE","Hewlett Packard Enterprise","Common stocks","Large cap","Information Technology","$21,738,269,573","3.55%","5.96","0.78","1.09"
"DRE","Duke Realty Corporation","REITs","Large cap","Real Estate","$21,331,644,590","1.91%","25.28","19.29","3.56"
"CINF","Cincinnati Financial Corp","Common stocks","Large cap","Financials","$21,220,574,626","1.94%","6.97","2.20","1.57"
"CCL","Carnival Corp","Common stocks","Large cap","Consumer Discretionary","$21,141,408,806","0.00%","-2.02","11.08","1.58"
"CFG","Citizens Financial Group Inc","Common stocks","Large cap","Financials","$20,997,381,131","3.10%","9.42","3.16","0.89"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$20,986,721,160","0.53%","90.30","17.38","17.57"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$20,961,284,205","0.00%","21.48","2.43","13.79"
"K","Kellogg","Common stocks","Large cap","Consumer Staples","$20,763,148,121","3.75%","13.89","1.46","5.56"
"IR","Ingersoll Rand Plc","Common stocks","Large cap","Industrials","$20,713,450,643","0.08%","24.16","3.84","2.33"
"PAYC","Paycom Software Inc","Common stocks","Large cap","Information Technology","$20,659,860,504","0.00%","110.32","19.57","24.19"
"TDY","Teledyne Technologies Inc","Common stocks","Large cap","Information Technology","$20,431,096,972","0.00%","46.36","4.43","2.71"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$20,190,187,423","0.00%","29.79","7.25","56.15"
"STX","Seagate Technology Plc","Common stocks","Large cap","Information Technology","$20,160,537,022","1.48%","12.77","1.74","39.25"
"CTRA","Coterra Energy Inc.","Common stocks","Large cap","Energy","$20,127,910,789","1.99%","17.45","5.83","1.72"
"GNRC","Generac Holdings Inc","Common stocks","Large cap","Industrials","$19,762,726,426","0.00%","37.00","5.29","9.20"
"MOH","Molina Healthcare Inc","Common stocks","Large cap","Health Care","$19,704,744,000","0.00%","30.43","0.71","7.62"
"PPL","PPL Corporation","Common stocks","Large cap","Utilities","$19,700,344,899","5.29%","-13.25","3.41","1.43"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$19,587,495,748","0.34%","19.56","5.29","7.79"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$19,521,630,708","2.33%","4.69","1.27","1.44"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$19,485,254,195","3.10%","39.21","6.75","3.33"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$19,361,780,907","2.61%","14.23","2.62","2.07"
